Id ,Name,Code
1,AL RAJHI BANKING AND INVESTMENT CORP.,RAJHI
2,EMIRATES BANK INTERNATIONAL PJSC,EMIRATES
3,SAUDI HOLLANDI BANK,HOLLANDI
4,NATIONAL COMMERCIAL BANK,NATIONAL
5,BANK AL JAZIRA,JAZIRA
6,SAUDI BRITISH BANK,BRITISH
7,AL BILAD BANK,BILAD
8,SAMBA FINANCIAL GROUP,SAMBA
9,RIYAD BANK,RIYAD
10,SAUDI INVESTMENT BANK,SAUDI INVESTMENT
11,BANQUE SAUDI FRANSI,BANQUE
12,ARAB NATIONAL BANK,ARAB
13,UNITED SAUDI COMMERCIAL BANK,UNITED
14,AL BANK AL SAUDI AL FRANSI,FRANSI
15,SAUDI AMERICAN BANK,AMERICAN
16,"National Bank Of Kuwait, S.A.K.",S.A.K.
17,SAUDI CAIRO BANK ,CAIRO
18,CITICORP,CITICORP
19,ITHAD BANK ,ITHAD
20,,
21,,
