id,Id_Bank,Bin
1,1,400861
2,1,405433
3,1,407620
4,1,409201
5,1,410248
6,1,410249
7,2,410682
8,2,410683
9,2,410684
10,2,410685
11,3,410747
12,3,411166
13,3,411167
14,4,412113
15,3,412518
16,4,414026
17,5,414090
18,6,414478
19,1,414627
20,3,416041
21,1,417323
22,7,417633
23,1,419461
24,4,422862
25,7,424260
26,7,424261
27,7,424262
28,3,427733
29,3,427739
30,3,428334
31,3,432326
32,3,432327
33,3,432328
34,4,433347
35,6,433786
36,8,433987
37,8,433988
38,9,435240
39,10,440630
40,11,440647
41,11,443927
42,11,444445
43,1,445520
44,1,445521
45,1,445522
46,1,445564
47,1,445826
48,1,445827
49,11,446404
50,8,454336
51,12,455017
52,6,455340
53,6,455389
54,6,456891
55,6,457840
56,6,457841
57,6,457842
58,6,457865
59,11,457997
60,11,457998
61,11,458263
62,1,458456
63,1,462220
64,1,468541
65,1,468543
66,1,473828
67,1,484783
68,1,489317
69,1,489318
70,1,489319
71,6,490160
72,3,490745
73,1,490980
74,12,491610
75,4,491797
76,4,492146
77,3,493428
78,1,494329
79,8,496649
80,6,512060
81,9,514932
82,5,515804
83,9,517531
84,9,517532
85,4,517720
86,11,517724
87,12,517918
88,4,518694
89,4,519310
90,9,520090
91,4,521031
92,4,521076
93,3,522139
94,4,523954
95,8,523970
96,4,523998
97,4,524116
98,1,524126
99,11,524148
100,3,524165
101,3,524205
102,3,524266
103,4,524388
104,4,525688
105,4,529499
106,3,530843
107,4,534186
108,4,539034
109,4,539035
110,9,539859
111,6,540236
112,4,540613
113,13,540634
114,8,540902
115,14,540930
116,14,541554
117,6,541643
118,6,541645
119,6,541653
120,9,541679
121,4,541891
122,9,541988
123,9,542373
124,11,542747
125,8,542805
126,12,542806
127,6,543199
128,3,543408
129,8,543683
130,12,544017
131,4,544217
132,8,544229
133,4,544744
134,4,545205
135,15,545318
136,1,545619
137,9,545855
138,4,546336
139,6,546755
140,6,546924
141,11,547042
142,14,547043
143,6,547645
144,4,548255
145,9,548322
146,9,548323
147,3,548350
148,3,548979
149,4,549699
150,4,549954
151,4,550002
152,11,552012
153,4,552075
154,4,552077
155,8,552089
156,8,552250
157,11,552360
158,3,552375
159,3,552384
160,1,554575
161,4,556675
162,4,556676
163,3,558705
164,3,558848
165,3,558854
166,3,559322
167,3,588851
168,3,539931
169,11,512727
170,11,512691
171,1,512623
172,1,524236
173,1,537799
174,9,520089
175,9,483011
176,4,536369
177,4,519341
178,4,546631
179,4,468542
180,4,476815
181,12,466515
182,12,439954
183,12,422819
184,12,422818
185,12,486653
186,12,455708
187,12,446672
188,12,430262
189,4,430260
190,4,430259
191,6,412710
192,6,420177
193,6,409246
194,6,419593
195,16,418763
196,16,436321
197,16,473825
198,16,428679
199,16,428678
200,16,428671
201,5,428375
202,5,428331
203,5,428274
204,5,427222
205,10,440631
206,10,440629
207,5,440532
208,3,548349
209,3,417487
210,1,417321
211,11,425871
212,8,477983
213,8,428672
214,3,416042
215,4,417490
216,6,545297
217,12,451111
218,1,455740
219,16,431361
220,5,440533
221,1,549963
222,1,468540
223,4,512464
224,4,400399
225,6,546757
226,6,428673
227,8,544873
228,6,455310
229,11,428275
230,11,529298
231,12,520431
232,8,450766
233,4,430258
234,8,455020
235,8,540000
236,3,438911
237,1,416634
238,11,440795
239,11,473826
240,5,428374
241,4,524197
242,17,454887
243,1,549964
244,8,454335
245,1,432159
246,4,523968
247,8,402106
248,8,402112
249,3,557606
250,3,376556
251,4,404116
252,12,520430
253,12,457796
254,12,533172
255,9,454684
256,1,426362
257,6,546756
258,11,450824
259,18,422791
260,6,456893
261,19,376656
262,10,376655
263,10,376555
264,9,448509
265,11,496655
266,1,455739
267,4,492145
268,6,455058
269,12,455037
270,12,455036
271,12,455035
272,9,490917
273,9,454683
