id;i_percentage;value;type;created_by;created_date;last_modified_by;last_modified_date
1;false;65572;Item;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
2;true;2327;Item;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
3;false;69289;Invoice;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
4;true;28203;Invoice;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
5;true;57592;Item;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
6;true;34080;Item;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
7;true;73990;Item;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
8;false;82645;Invoice;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
9;false;5348;Item;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
10;true;9128;Invoice;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
