id;amount;status;expiration_date;created_by;created_date;last_modified_by;last_modified_date
1;95060.5;PENDING;2019-09-15T10:42:35;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
2;9170.25;PENDING;2019-09-15T08:11:01;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
3;67251.75;FAILED;2019-09-15T02:28:29;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
4;78129.33;PENDING;2019-09-14T21:34:13;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
5;54952.25;SUCCESSFUL;2019-09-15T00:10:03;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
6;54591.05;FAILED;2019-09-15T04:57:35;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
7;76151;PENDING;2019-09-15T04:38:57;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
8;22257.50;PENDING;2019-09-15T00:04:01;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
9;70624;FAILED;2019-09-15T19:26:10;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
10;23322.35;PENDING;2019-09-15T15:47:31;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
