id;amount;status;refund_id;created_by;created_date;last_modified_by;last_modified_date
1;97439;FAILED;Beauty dynamic schemas;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
2;60278;FAILED;Group hard drive Personal Loan Account;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
3;41824;SUCCESSFUL;Aruba Chair portals;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
4;77760;SUCCESSFUL;disintermediate Assistant generating;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
5;83832;FAILED;Plastic Movies;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
6;7535;SUCCESSFUL;Monaco input Accounts;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
7;84964;SUCCESSFUL;User-friendly;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
8;27473;PENDING;Checking Account global Steel;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
9;67157;PENDING;solution connecting;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
10;96797;PENDING;Granite Grocery;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
